stop_id,stop_name,stop_lat,stop_lon
79,MANASQUAN,40.120573,-74.047688
81,MAPLEWOOD,40.731149,-74.275427
83,METROPARK,40.56864,-74.329394
84,METUCHEN,40.540736,-74.360671
85,MIDDLETOWN NJ,40.38978,-74.116131
87,MILLBURN,40.725622,-74.303755
88,MILLINGTON,40.673513,-74.523606
89,MONTCLAIR HEIGHTS,40.857536,-74.2025
90,MONTVALE,41.040879,-74.029152
91,MORRIS PLAINS,40.828637,-74.478197
92,MORRISTOWN,40.797113,-74.474086
93,MOUNT OLIVE,40.907376,-74.730653
94,MOUNT TABOR,40.875904,-74.481915
95,MOUNTAIN AVENUE,40.848715,-74.205306
96,MOUNTAIN LAKES,40.885947,-74.433604
97,MOUNTAIN STATION,40.755365,-74.253024
98,MOUNTAIN VIEW,40.914402,-74.268158
99,MURRAY HILL,40.695068,-74.403134
100,NANUET,41.090015,-74.014794
101,NETCONG,40.897552,-74.707317
102,NETHERWOOD,40.629148,-74.403455
103,NEW BRUNSWICK,40.497278,-74.445751
104,NEW PROVIDENCE,40.712022,-74.386501
105,NEW YORK PENN STATION,40.750046,-73.992358
106,NEWARK BROAD ST,40.747621,-74.171943
107,NEWARK PENN STATION,40.734221,-74.164554
108,NORTH BRANCH,40.59202,-74.683802
109,NORTH ELIZABETH,40.680265,-74.206165
110,NEW BRIDGE LANDING,40.910856,-74.035044
111,ORADELL,40.953478,-74.029983
112,ORANGE,40.771883,-74.233103
114,PARK RIDGE,41.032305,-74.036164
115,PASSAIC,40.849411,-74.133933
116,PATERSON,40.914887,-74.16733
117,PEAPACK,40.708794,-74.658469
118,PEARL RIVER,41.058181,-74.02232
119,PERTH AMBOY,40.509398,-74.273752
120,PLAINFIELD,40.618425,-74.420163
121,PLAUDERVILLE,40.884916,-74.102695
122,POINT PLEASANT,40.092718,-74.048191
124,PRINCETON,40.342088,-74.65887
125,PRINCETON JCT.,40.316316,-74.623753
126,RADBURN,40.939914,-74.121617
127,RAHWAY,40.606338,-74.276692
128,RAMSEY,41.056422,-74.141877
129,RARITAN,40.571005,-74.634364
130,RED BANK,40.348284,-74.074538
131,RIDGEWOOD,40.980629,-74.120592
132,RIVER EDGE,40.935146,-74.02914
134,RUTHERFORD,40.828248,-74.100563
136,SHORT HILLS,40.725249,-74.323754
138,SOMERVILLE,40.566075,-74.61397
139,SOUTH AMBOY,40.484308,-74.28014
140,SOUTH ORANGE,40.745952,-74.260538
141,SPRING LAKE,40.150557,-74.035481
142,SPRING VALLEY,41.111978,-74.043991
143,STIRLING,40.674579,-74.493723
144,SUFFERN,41.11354,-74.153442
145,SUMMIT,40.716549,-74.357807
146,TETERBORO,40.864858,-74.062676
147,TOWACO,40.922809,-74.343842
148,TRENTON TRANSIT CENTER,40.218515,-74.753926
150,UPPER MONTCLAIR,40.842004,-74.209368
151,WALDWICK,41.012734,-74.123412
152,WALNUT STREET,40.817218,-74.20963
153,WATCHUNG AVENUE,40.829514,-74.206934
154,WATSESSING AVENUE,40.782743,-74.198451
155,WESTFIELD,40.649448,-74.347629
156,WESTWOOD,40.990817,-74.032696
157,WHITE HOUSE,40.615611,-74.77066
158,WOODBRIDGE,40.55661,-74.277751
159,WOODCLIFF LAKE,41.021078,-74.040775
160,WOOD-RIDGE,40.843974,-74.078719
31696,MONMOUTH PARK,40.313425,-74.015172
32905,HAMILTON,40.255309,-74.70412
32906,JERSEY AVE.,40.476912,-74.467363
37169,ABERDEEN-MATAWAN,40.420161,-74.223702
37953,NEWARK AIRPORT RAILROAD STATION,40.704415,-74.190717
38081,MSU,40.869782,-74.197439
38105,UNION,40.683663,-74.238605
38174,SECAUCUS LOWER LEVEL,40.761188,-74.075821
38187,SECAUCUS UPPER LEVEL,40.761188,-74.075821
38417,RAMSEY ROUTE 17 STATION,41.07513,-74.145485
39472,MOUNT ARLINGTON,40.89659,-74.632731
39635,WAYNE/ROUTE 23 TRANSIT CENTER [RR],40.900254,-74.256971
40570,MEADOWLANDS RAIL STATION,40.813053,-74.072114
43298,PENNSAUKEN TRANSIT CENTER,39.977769,-75.061796
43599,WESMONT,40.854979,-74.096951
